cluster,n,acc_frozen,acc_lora_only,acc_reinspection,delta_lora_only,delta_lora_only_ci_lo,delta_lora_only_ci_hi,delta_reinspection,delta_reinspection_ci_lo,delta_reinspection_ci_hi
polycube,1000,0.0,0.0,0.304,0.0,0.0,0.0,0.304,0.275,0.332
paper_fold,400,0.0,0.0,0.3825,0.0,0.0,0.0,0.3825,0.3375,0.43
maze,400,0.09,0.13,0.265,0.04000000000000001,0.0225,0.06,0.17500000000000002,0.1325,0.22
facing_direction,148,0.7972972972972973,0.7567567567567568,0.7567567567567568,-0.04054054054054046,-0.08783783783783784,0.0,-0.04054054054054046,-0.0945945945945946,0.013513513513513514
which_hand,30,0.6,0.6,0.0,0.0,-0.13333333333333333,0.13333333333333333,-0.6,-0.7666666666666667,-0.43333333333333335
other,877,0.5541619156214367,0.5872291904218928,0.4846066134549601,0.033067274800456126,0.01596351197263398,0.052451539338654506,-0.0695553021664766,-0.09806157354618016,-0.039908779931584946
