bucket,n,qlen_min,qlen_max,frozen_acc,reinsp_acc,delta
1,571,42,92,0.5691768826619965,0.4028021015761821,-0.16637478108581438
2,571,92,219,0.5201401050788091,0.5866900175131349,0.06654991243432573
3,571,219,235,0.0,0.30823117338003503,0.30823117338003503
4,571,235,385,0.0,0.3345008756567426,0.3345008756567426
5,571,385,1071,0.06304728546409807,0.29422066549912435,0.23117338003502627
